state_num,race_eth2,inc_bin,tested,positive,death,popsize3120,popsize10120,case_rate,test_rate,death_rate,case_fatal,per_pos,per_dec,popsize3_pc,popsize10_pc,pc,death_mr,popsize3_mr,mr,tested_tr,popsize3_tr,tr,positive_cr,popsize3_cr,cr,positive_pp,tested_pp,test_rep,pp,death_cf,death_rep,cf,pos_rep,positive_cf,hos_rep,hospital,b_w,h_w,api_w,na_w,m_w,u_w,state,raceethnicity,racehispanic,acspopracehispanic
1,1,0,,83259,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,0,0,0,0,0,0,CA,White,,
1,2,0,,21102,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,1,,,,,,CA,Black,,
1,3,0,,297838,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,,1,,,,,CA,Hispanic,,
1,4,0,,26887,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,,,1,,,,CA,Asian,,
1,5,0,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,,,,1,,,CA,Native American,,
1,6,0,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,,,,,1,,CA,Two or more races,,
1,9,0,,64012,,,,,,,,,,,,0,,,0,,,0,,,0,,,,0,,,0,,,,,,,,,,1,CA,Unknown,,
1,1,1,,3010,,25633,,117.42676,,,,,,,,0,,,0,,,0,,,1,,,0,0,,0,0,1,,0,,0,0,0,0,0,0,CA,White,,
1,2,1,,2707,,35231,,76.835739,,,,,,,,0,,,0,,,0,,,1,,,0,0,,0,0,1,,0,,1,,,,,,CA,Black,,
1,3,1,,5478,,55381,,98.914787,,,,,,,,0,,,0,,,0,,,1,,,0,0,,0,0,1,,0,,,1,,,,,CA,Hispanic,,
1,4,1,,179,,1718,,104.19092,,,,,,,,0,,,0,,,0,,,1,,,0,0,,0,0,1,,0,,,,1,,,,CA,Asian,,
1,5,1,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,,0,0,1,,0,,,,,1,,,CA,Native American,,
1,6,1,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,,0,0,1,,0,,,,,,1,,CA,Two or more races,,
1,9,1,,690,,6396,,107.87993,,,,,,,,0,,,0,,,0,,,1,,,0,0,,0,0,1,,0,,,,,,,1,CA,Unknown,,
2,1,0,,26161,1225,3778212,3778212,6.9241748,,.32422745,46.825428,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,0,0,0,0,0,0,CO,White,,
2,2,0,,2934,123,216732,216732,13.537457,,.56752115,41.922291,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,1,,,,,,CO,Black,,
2,3,0,,25858,455,1184794,1184794,21.82489,,.38403299,17.596102,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,,1,,,,,CO,Hispanic,1,1
2,4,0,,1615,70,177036,177036,9.1224384,,.39539981,43.343655,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,,,1,,,,CO,Asian,,
2,5,0,,395,13,30131,30131,13.109422,,.43144932,32.911392,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,,,,1,,,CO,Native American,,
2,6,0,,909,27,133884,133884,6.7894597,,.20166712,29.702971,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,,,,,1,,CO,Two or more races,,
2,9,0,,12118,81,10352,10352,1170.5951,,7.8245749,6.6842713,,0,,,1,,,1,,,0,,,1,,,,0,,,1,,,,,,,,,,1,CO,Unknown,,
2,1,1,5769,415,2,7276,7625,57.036835,792.88068,.2748763,4.8192773,7.1936212,4.7965918,,,1,,,1,,,1,,,1,,,1,1,,1,1,1,,0,,0,0,0,0,0,0,CO,White,,
2,2,1,2139,142,0,2952,3077,48.102982,724.59351,0,0,6.6386161,4.2344174,,,1,,,1,,,1,,,1,,,1,1,,1,1,1,,0,,1,,,,,,CO,Black,,
2,3,1,3853,288,1,4939,5286,58.311398,780.11743,.20247014,3.4722223,7.4746952,7.0257139,,,1,,,1,,,1,,,1,,,1,1,,1,1,1,,0,,,1,,,,,CO,Hispanic,1,
2,4,1,140,10,0,201,224,49.751244,696.5174,0,0,7.1428571,11.442786,,,1,,,1,,,1,,,1,,,1,1,,1,1,1,,0,,,,1,,,,CO,Asian,,
2,5,1,484,38,0,573,604,66.317627,844.67712,0,0,7.8512397,5.4101224,,,1,,,1,,,1,,,1,,,1,1,,1,1,1,,0,,,,,1,,,CO,Native American,,
2,6,1,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,0,,1,0,1,,0,,,,,,1,,CO,Two or more races,,
